asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B074M6577N,"SWEETV Jeweled Baroque Queen Crown - Rhinestone Wedding Crowns and Tiaras for Women, Costume Party Hair Accessories with Gemstones,Victoria",https://m.media-amazon.com/images/I/71X+fI-1WbL._AC_UL320_.jpg,https://www.amazon.com/dp/B074M6577N,4.6,0,18.99,32.99,47,False,600
B08XKSDW9M,Dove Refillable Deodorant Starter Kit 0% Aluminum Cucumber & Green Tea Aluminum Free Deodorant 1.13 oz,https://m.media-amazon.com/images/I/71dCfBg911L._AC_UL320_.jpg,https://www.amazon.com/dp/B08XKSDW9M,2.8,0,5.99,9.99,52,False,400
B0BSLQ5MFJ,"Bubble Skincare Fresh Start Gel Cleanser - PHA + Caffeine for Skin Calming, Texture + Acne Support - Sensitive Skin Friendly Deep Pore Facial Cleanser (50ml)",https://m.media-amazon.com/images/I/61laKzSaxaL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BSLQ5MFJ,4.4,0,11.82,0.0,52,False,1000
B01BBZYT90,"Maja Bath and Shower Gel, Body Wash Enriched With Glycerin that Protects and Softens Your Skin Keeping It Clean and Fresh, 13.5 Oz, Bottle",https://m.media-amazon.com/images/I/51UhoTErzJL._AC_UL320_.jpg,https://www.amazon.com/dp/B01BBZYT90,4.6,0,8.28,0.0,52,False,700
B08TBC5QG3,"Dial Kids 2-in-1 Body+Hair Wash, Melon, 32 fl oz",https://m.media-amazon.com/images/I/716Puj3ketL._AC_UL320_.jpg,https://www.amazon.com/dp/B08TBC5QG3,4.5,0,7.47,0.0,52,False,1000
B00GYR9EQE,"Soothing Touch W67348G Basics Lotion, 1 Gallon",https://m.media-amazon.com/images/I/51AfUjNKofL._AC_UL320_.jpg,https://www.amazon.com/dp/B00GYR9EQE,4.3,0,26.19,40.0,52,False,500
B07TM2B492,"KECUCO 3 Pcs Bath Sponge for Women, Men, Kids, Sponge Loofah Body Scrubber Shower Sponge for Body Wash Bathroom, 3 Colors & Large Size Bathing Sponge Bathing Accessories(Large Size)",https://m.media-amazon.com/images/I/71c87x-mAhL._AC_UL320_.jpg,https://www.amazon.com/dp/B07TM2B492,4.1,0,7.99,9.99,52,False,600
B08GCX5V9G,"Supergoop! Unseen Sunscreen - SPF 40-1.7 fl oz - Invisible, Broad Spectrum Face Sunscreen - Weightless, Scentless, and Oil Free - For All Skin Types and Skin Tones",https://m.media-amazon.com/images/I/51Wq1MzliXL._AC_UL320_.jpg,https://www.amazon.com/dp/B08GCX5V9G,4.6,0,18.0,0.0,52,False,3000
B06ZZHGYGV,"Bath Accessories Deodorant Be-gone Remover Sponge, 2 Count",https://m.media-amazon.com/images/I/61vVoE+gRpL._AC_UL320_.jpg,https://www.amazon.com/dp/B06ZZHGYGV,4.4,0,8.02,8.64,52,False,900
B0B85BJ488,"120 PCS Under Eye Patches - 24K Skin Care Gold- Eye Patch for Puffy Eyes Anti-Aging Collagen Hyaluronic Acid Eye Masks for Dark Circles and Puffiness, Anti-Wrinkle and Hydrating skin care",https://m.media-amazon.com/images/I/817sBi2GtYL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B85BJ488,4.3,0,9.99,11.99,52,False,2000
B07VR6BBY8,Supergoop! Superscreen - 1.7 fl oz - SPF 40 PA+++ Hydrating Daily Moisturizer Sunscreen - Protection from UV Rays + Helps Filter Pollution & Blue Light,https://m.media-amazon.com/images/I/51636hnIu1L._AC_UL320_.jpg,https://www.amazon.com/dp/B07VR6BBY8,4.5,0,44.0,0.0,52,False,1000
B07VR1PRX1,"4 Pcs, [Microfiber] Hand [Duster] [Washable] Microfibre Cleaning Tool Extendable [Duster]s for Cleaning Office, Car, Computer, Air Condition",https://m.media-amazon.com/images/I/71c6xrExsFL._AC_UL320_.jpg,https://www.amazon.com/dp/B07VR1PRX1,4.0,0,10.59,14.99,167,False,1000
B0833F8HWB,"Clear Kitchen Trash Bags 7-10 Gallon Clear Plastic Garbage Bag for Kitchen, Home, Office, Bathroom - Wastebasket Bin Liners - High Density, Leak-Proof Waste Basket Bags 24x24-48 Pack",https://m.media-amazon.com/images/I/71pHwuY0iGL._AC_UL320_.jpg,https://www.amazon.com/dp/B0833F8HWB,4.0,0,4.99,0.0,167,False,100
B099GCSSM1,"MagicFiber Microfiber Cleaning Cloth (12 Pack,13x13 in) - Thick, Soft, & Ultra Absorbent Reusable Microfiber Towel, Cleaning Rags, Micro Fiber Cloths or Dusting, Windows, Kitchenware, Cars & More!",https://m.media-amazon.com/images/I/91AzaWf2I9L._AC_UL320_.jpg,https://www.amazon.com/dp/B099GCSSM1,4.7,0,9.99,15.99,167,False,1000
B07ML4GD4P,Bambaw Bottle Cleaner Brush Set | 4 Cleaning Brushes | Bottle Brush Cleaner Set | Water Bottle Brush | Bottle Scrubber | Small & Long Bottle Brush for Glass - Soft Cotton Tip to Prevent Scratches,https://m.media-amazon.com/images/I/615k--5Kt4L._AC_UL320_.jpg,https://www.amazon.com/dp/B07ML4GD4P,4.3,0,11.95,0.0,167,False,100
B00OCU7YEY,iCloth Lens Cleaning Wipes [5 x 3.5 Inches - 30 Wipes] Safe for All Screens,https://m.media-amazon.com/images/I/71SNeROuE4L._AC_UL320_.jpg,https://www.amazon.com/dp/B00OCU7YEY,4.5,0,9.79,0.0,167,False,100
B0BVC3YNMH,"Spin Mop Kit (𝙉𝙤 𝘽𝙪𝙘𝙠𝙚𝙩), Compatible with O-Cedar 1-Tank System Triangle Spin Mop, 60"" Multi-Size Combination Handle, 5 Pack Microfiber Head Refills, 1 Pack Replacement Base Part.",https://m.media-amazon.com/images/I/81AS7bhz1rL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BVC3YNMH,4.5,0,20.99,22.99,167,False,400
B0781RM4S5,"Fresh Towel Ultra Strong Center Pull Shop Towels - (1 Box of 300) Disposable Cleaning Towels - White, 9 x 12 inches - FT500",https://m.media-amazon.com/images/I/71aqPzDOSeL._AC_UL320_.jpg,https://www.amazon.com/dp/B0781RM4S5,4.5,0,30.89,0.0,167,False,200
B0BKFRPH15,Silicone Toilet Brush 2 Pack Toilet Bowl Brush and Holder Toilet Cleaner Brush with Silicone Bristles Ventilated Toilet Brushes for Bathroom with Holder for Toilet Scrubber Cleaning,https://m.media-amazon.com/images/I/51WSE9dwNeL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BKFRPH15,4.3,0,13.99,0.0,167,False,3000
B09PGXCSM9,"Disposable Gloves - Stretch Poly, Clear, Food Prep&Cooking Gloves - Safe, Nitrile, Vinyl, Latex and Powder Free",https://m.media-amazon.com/images/I/710SdULHDqL._AC_UL320_.jpg,https://www.amazon.com/dp/B09PGXCSM9,4.2,0,11.95,0.0,167,False,100
B09QD9LPGN,"Wipex Gym Wipes Antibacterial Refills - EPA Registered Bulk Size Disinfecting Cleaning Wipes for Dispensers, Safely Kill Viruses and Bacteria in 15 Seconds, Sanitize Gym Equipment, Fitness Equipment and Surfaces, 800ct Gym Refill Rolls",https://m.media-amazon.com/images/I/71BOnU1RsXL._AC_UL320_.jpg,https://www.amazon.com/dp/B09QD9LPGN,5.0,0,42.99,0.0,167,False,100
B095K5R5ZR,"Rechargeable Fabric Shaver, Electric Commercial Lint Remover with LED Display & Big Trash Box, 3-Speeds for Removing Fuzz and Pill from Clothes, Furniture, Sweater, Couch and Blanket, Silver",https://m.media-amazon.com/images/I/61-y5VoU-EL._AC_UL320_.jpg,https://www.amazon.com/dp/B095K5R5ZR,4.5,0,25.99,0.0,130,False,600
B088BBV7DS,"POWEROWL High Capacity LR44 Batteries 40 Pack, L1154F AG13 357 303 SR44 A76 Premium Alkaline Battery 1.5V Button Coin Cell Batteries",https://m.media-amazon.com/images/I/61cn1sqznaL._AC_UL320_.jpg,https://www.amazon.com/dp/B088BBV7DS,4.6,0,8.99,0.0,130,False,10000
B00OHZ78RM,"ATTITUDE Liquid Fabric Softener, Plant- and Mineral-Based Effective Formula, Vegan and Cruelty-free, Wildflowers, 40 Loads, 33.8 Fl Oz",https://m.media-amazon.com/images/I/61kcUg9ffML._AC_UL320_.jpg,https://www.amazon.com/dp/B00OHZ78RM,4.5,0,9.29,9.99,130,False,1000
B082L49F6S,20 pcs Pack LR41 AG3 SR41 392 384 192 Battery 1.5V Button Coin Cell Batteries,https://m.media-amazon.com/images/I/81tKX4q6ydL._AC_UL320_.jpg,https://www.amazon.com/dp/B082L49F6S,4.5,0,4.99,8.99,130,False,900
